time(s),lead voltage(mv)
11.278,0.335
11.28,0.302
11.282,0.2625
11.284,0.19
11.286,0.092
11.288,0.052
11.29,-0.022
11.292,-0.0815
11.294,-0.0945
11.296,-0.095
11.298,-0.0335
11.3,0.018
11.302,0.06
11.304,0.162
11.306,0.194
11.308,0.2515
11.31,0.3385
11.312,0.456
11.314,0.521
11.316,0.605
11.318,0.6685
11.32,0.6645
11.322,0.571
11.324,0.54
11.326,0.4965
11.328,0.4845
11.33,0.485
11.332,0.4935
11.334,0.5105
11.336,0.499
11.338,0.5045
11.34,0.466
11.342,0.422
11.344,0.3935
11.346,0.3755
11.348,0.358
11.35,0.351
11.352,0.346
11.354,0.344
11.356,0.3445
11.358,0.3505
11.36,0.345
11.362,0.347
11.364,0.334
11.366,0.3325
11.368,0.324
11.37,0.3175
11.372,0.3225
11.374,0.32
11.376,0.327
11.378,0.3235
11.38,0.3345
11.382,0.3295
11.384,0.3195
11.386,0.3125
11.388,0.3105
11.39,0.301
11.392,0.301
11.394,0.306
11.396,0.3085
11.398,0.316
11.4,0.317
11.402,0.3205
11.404,0.324
11.406,0.3075
11.408,0.3085
11.41,0.304
11.412,0.2965
11.414,0.301
11.416,0.3045
11.418,0.3135
11.42,0.3135
11.422,0.319
11.424,0.31
11.426,0.308
11.428,0.2995
11.43,0.292
11.432,0.296
11.434,0.2985
11.436,0.3025
11.438,0.3015
11.44,0.308
11.442,0.309
11.444,0.2995
11.446,0.293
11.448,0.2885
11.45,0.287
11.452,0.2875
11.454,0.2925
11.456,0.3065
11.458,0.301
11.46,0.3075
11.462,0.3035
11.464,0.3035
11.466,0.2965
11.468,0.2895
11.47,0.284
11.472,0.2785
11.474,0.2825
11.476,0.285
11.478,0.2895
11.48,0.289
11.482,0.297
11.484,0.285
11.486,0.283
11.488,0.2775
11.49,0.2775
11.492,0.2655
11.494,0.276
11.496,0.275
11.498,0.2835
11.5,0.2825
11.502,0.286
11.504,0.269
11.506,0.2735
11.508,0.264
11.51,0.258
11.512,0.252
11.514,0.2645
11.516,0.2635
11.518,0.2705
11.52,0.267
11.522,0.271
11.524,0.265
11.526,0.264
11.528,0.2615
11.53,0.2615
11.532,0.2605
11.534,0.2645
11.536,0.2655
11.538,0.276
11.54,0.278
11.542,0.2835
11.544,0.276
11.546,0.28
11.548,0.265
11.55,0.268
11.552,0.2655
11.554,0.269
11.556,0.2735
11.558,0.2805
11.56,0.278
11.562,0.287
11.564,0.276
11.566,0.28
11.568,0.273
11.57,0.2715
11.572,0.27
11.574,0.274
11.576,0.2805
11.578,0.2845
11.58,0.287
11.582,0.2925
11.584,0.283
11.586,0.274
11.588,0.2795
11.59,0.2755
11.592,0.2645
11.594,0.278
11.596,0.272
11.598,0.287
11.6,0.2935
11.602,0.2945
11.604,0.2855
11.606,0.2815
11.608,0.277
11.61,0.2735
11.612,0.269
11.614,0.2775
11.616,0.276
11.618,0.2845
11.62,0.2875
11.622,0.2955
11.624,0.2875
11.626,0.278
11.628,0.2815
11.63,0.2765
11.632,0.267
11.634,0.2765
11.636,0.284
11.638,0.2855
11.64,0.293
11.642,0.294
11.644,0.2895
11.646,0.284
11.648,0.2775
11.65,0.276
11.652,0.2655
11.654,0.271
11.656,0.279
11.658,0.282
11.66,0.2845
11.662,0.289
11.664,0.284
11.666,0.276
11.668,0.2675
11.67,0.2665
11.672,0.2615
11.674,0.269
11.676,0.2765
11.678,0.2865
11.68,0.289
11.682,0.2905
11.684,0.288
11.686,0.2785
11.688,0.269
11.69,0.262
11.692,0.262
11.694,0.2655
11.696,0.269
11.698,0.2765
11.7,0.279
11.702,0.2795
11.704,0.2765
11.706,0.2685
11.708,0.2625
11.71,0.257
11.712,0.2565
11.714,0.258
11.716,0.272
11.718,0.2715
11.72,0.2735
11.722,0.284
11.724,0.275
11.726,0.2685
11.728,0.26
11.73,0.2535
11.732,0.252
11.734,0.256
11.736,0.26
11.738,0.2625
11.74,0.2715
11.742,0.2715
11.744,0.2695
11.746,0.2645
11.748,0.258
11.75,0.253
11.752,0.252
11.754,0.2575
11.756,0.2615
11.758,0.267
11.76,0.273
11.762,0.273
11.764,0.271
11.766,0.259
11.768,0.2515
11.77,0.249
11.772,0.252
11.774,0.2765
11.776,0.286
11.778,0.2925
11.78,0.2955
11.782,0.3
11.784,0.2965
11.786,0.287
11.788,0.261
11.79,0.2285
11.792,0.218
11.794,0.232
11.796,0.2435
11.798,0.247
11.8,0.23
11.802,0.2265
11.804,0.214
11.806,0.1945
11.808,0.193
11.81,0.177
11.812,0.1635
11.814,0.157
11.816,0.136
11.818,0.137
11.82,0.1375
11.822,0.145
11.824,0.146
11.826,0.1425
11.828,0.14
11.83,0.142
11.832,0.145
11.834,0.1515
11.836,0.156
11.838,0.1695
11.84,0.1915
11.842,0.2195
11.844,0.219
11.846,0.233
11.848,0.2335
11.85,0.23
11.852,0.238
11.854,0.242
11.856,0.2465
11.858,0.2555
11.86,0.262
11.862,0.2695
11.864,0.2635
11.866,0.2605
11.868,0.25
11.87,0.2465
11.872,0.2425
11.874,0.249
11.876,0.2525
11.878,0.264
11.88,0.272
11.882,0.2825
11.884,0.2845
11.886,0.2935
11.888,0.311
11.89,0.342
11.892,0.3775
11.894,0.4215
11.896,0.4765
11.898,0.525
11.9,0.5565
11.902,0.56
11.904,0.5405
11.906,0.478
11.908,0.4045
11.91,0.347
11.912,0.2975
11.914,0.273
11.916,0.228
11.918,0.135
11.92,0.063
11.922,0.046
11.924,-0.0475
11.926,-0.084
11.928,-0.118
11.93,-0.079
11.932,-0.035
11.934,0.001
11.936,0.0875
11.938,0.1785
11.94,0.2305
11.942,0.31
11.944,0.429
11.946,0.5015
11.948,0.5785
11.95,0.63
11.952,0.6475
11.954,0.573
11.956,0.5035
11.958,0.496
11.96,0.4795
11.962,0.5005
11.964,0.502
11.966,0.497
11.968,0.496
11.97,0.492
11.972,0.447
11.974,0.41
11.976,0.388
11.978,0.3785
11.98,0.3645
11.982,0.373
11.984,0.36
11.986,0.349
11.988,0.3405
11.99,0.3355
11.992,0.3345
11.994,0.3265
11.996,0.3325
11.998,0.3375
