time(s),lead voltage(mv)
9.432,0.25
9.434,0.257
9.436,0.263
9.438,0.2685
9.44,0.272
9.442,0.271
9.444,0.269
9.446,0.259
9.448,0.254
9.45,0.2505
9.452,0.2495
9.454,0.2555
9.456,0.2615
9.458,0.263
9.46,0.266
9.462,0.2635
9.464,0.264
9.466,0.255
9.468,0.2475
9.47,0.249
9.472,0.2425
9.474,0.2465
9.476,0.259
9.478,0.2575
9.48,0.2645
9.482,0.261
9.484,0.254
9.486,0.2475
9.488,0.2425
9.49,0.2425
9.492,0.239
9.494,0.2425
9.496,0.2455
9.498,0.251
9.5,0.2555
9.502,0.254
9.504,0.245
9.506,0.2395
9.508,0.231
9.51,0.231
9.512,0.227
9.514,0.2295
9.516,0.232
9.518,0.238
9.52,0.2425
9.522,0.243
9.524,0.234
9.526,0.228
9.528,0.2245
9.53,0.2145
9.532,0.214
9.534,0.2235
9.536,0.226
9.538,0.232
9.54,0.2355
9.542,0.236
9.544,0.2285
9.546,0.224
9.548,0.217
9.55,0.219
9.552,0.2215
9.554,0.2245
9.556,0.2295
9.558,0.24
9.56,0.239
9.562,0.2415
9.564,0.234
9.566,0.234
9.568,0.2255
9.57,0.2335
9.572,0.2255
9.574,0.2335
9.576,0.24
9.578,0.248
9.58,0.2495
9.582,0.254
9.584,0.2445
9.586,0.2395
9.588,0.2365
9.59,0.23
9.592,0.2295
9.594,0.2365
9.596,0.2385
9.598,0.248
9.6,0.253
9.602,0.2475
9.604,0.249
9.606,0.2445
9.608,0.2335
9.61,0.2295
9.612,0.2315
9.614,0.2385
9.616,0.2435
9.618,0.2485
9.62,0.2525
9.622,0.2555
9.624,0.2425
9.626,0.238
9.628,0.235
9.63,0.2315
9.632,0.2335
9.634,0.237
9.636,0.245
9.638,0.2515
9.64,0.255
9.642,0.254
9.644,0.245
9.646,0.243
9.648,0.2375
9.65,0.2365
9.652,0.2345
9.654,0.241
9.656,0.246
9.658,0.248
9.66,0.2555
9.662,0.2565
9.664,0.244
9.666,0.2405
9.668,0.2385
9.67,0.232
9.672,0.2325
9.674,0.24
9.676,0.242
9.678,0.248
9.68,0.2515
9.682,0.251
9.684,0.2385
9.686,0.241
9.688,0.233
9.69,0.226
9.692,0.2275
9.694,0.237
9.696,0.244
9.698,0.245
9.7,0.2525
9.702,0.251
9.704,0.2435
9.706,0.237
9.708,0.235
9.71,0.227
9.712,0.2285
9.714,0.232
9.716,0.235
9.718,0.2385
9.72,0.2455
9.722,0.242
9.724,0.2405
9.726,0.235
9.728,0.228
9.73,0.226
9.732,0.219
9.734,0.238
9.736,0.237
9.738,0.243
9.74,0.2455
9.742,0.25
9.744,0.2405
9.746,0.234
9.748,0.2295
9.75,0.219
9.752,0.233
9.754,0.233
9.756,0.239
9.758,0.243
9.76,0.2445
9.762,0.2445
9.764,0.238
9.766,0.2275
9.768,0.225
9.77,0.223
9.772,0.2235
9.774,0.2295
9.776,0.236
9.778,0.2375
9.78,0.2435
9.782,0.2435
9.784,0.2375
9.786,0.234
9.788,0.2245
9.79,0.223
